id,evidence_key,application_id,application_slug,control_id,framework,source_system,source_object_id,title,current_version,latest_sha256,latest_collected_at,created_at,updated_at,lifecycle_state,reviewed_by,reviewed_at,lifecycle_note,target_date,target_date_comment
d7c75fed-d1f6-4387-92bc-643a6be73619,payments|PCI_DSS|PCI-DSS-12.10|SERVICENOW|servicenow-pci-dss-12.10,c48fd0a0-a98a-4933-b118-d53c4863ce00,payments,PCI-DSS-12.10,PCI_DSS,SERVICENOW,servicenow-pci-dss-12.10,payments_PCI-DSS-12.10_GENERAL_20260911_001,1,7096c2b7964b56ad00016bd9f127a0fdb1b6c2f06ad0e797381bf5796bc63a07,2026-09-11 11:30:39+00,2026-09-11 11:30:40.269166+00,2026-09-11 11:30:40.269166+00,DRAFT,,,,,
133172bf-2ebc-44b1-a5ea-64d13da66e1b,payments|ITPP|ITPP-INC-01|SERVICENOW|servicenow-itpp-inc-01,c48fd0a0-a98a-4933-b118-d53c4863ce00,payments,ITPP-INC-01,ITPP,SERVICENOW,servicenow-itpp-inc-01,payments_ITPP-INC-01_GENERAL_20260911_001,1,804c6ad26701569e6ba7531b955a2143ed53c87e54aec08f366438d067754db4,2026-09-11 11:30:39+00,2026-09-11 11:30:40.11154+00,2026-09-11 11:30:40.11154+00,DRAFT,,,,,
ef4bcc7f-8475-4514-b409-80f441a71f17,payments|ITPP|ITPP-CHG-02|SERVICENOW|servicenow-itpp-chg-02,c48fd0a0-a98a-4933-b118-d53c4863ce00,payments,ITPP-CHG-02,ITPP,SERVICENOW,servicenow-itpp-chg-02,payments_ITPP-CHG-02_CHANGE-TICKET_20260911_001,1,e0d31bf7275c1803bbfce7e8ee4b612f31031edd585b1c3aa0477d22a6cbe09d,2026-09-11 11:30:39+00,2026-09-11 11:30:39.92788+00,2026-09-11 11:30:39.92788+00,DRAFT,,,,,
154eff0e-2769-4b8b-aa06-39785c812044,net-banking|PCI_DSS|PCI-DSS-12.10|SERVICENOW|servicenow-pci-dss-12.10,f35f822a-0f10-44f9-a946-1bc8c3ef5175,net-banking,PCI-DSS-12.10,PCI_DSS,SERVICENOW,servicenow-pci-dss-12.10,net-banking_PCI-DSS-12.10_GENERAL_20260911_001,1,2fcec02b46f117cce7caf82ddef656d0bea4d9dc395b78407159beaf0f9c706d,2026-09-11 11:30:39+00,2026-09-11 11:30:39.735607+00,2026-09-11 11:30:39.735607+00,DRAFT,,,,,
85ddba5a-a66b-4116-9273-d76fb4110393,net-banking|ITPP|ITPP-INC-01|SERVICENOW|servicenow-itpp-inc-01,f35f822a-0f10-44f9-a946-1bc8c3ef5175,net-banking,ITPP-INC-01,ITPP,SERVICENOW,servicenow-itpp-inc-01,net-banking_ITPP-INC-01_GENERAL_20260911_001,1,19817c672d71bd0861cedf2f4d73002666d2234e1f049b2c94591d0e3939a060,2026-09-11 11:30:39+00,2026-09-11 11:30:39.5526+00,2026-09-11 11:30:39.5526+00,DRAFT,,,,,
3eb31cd6-bb9d-4425-a55d-26cde74eb6a2,net-banking|ITPP|ITPP-CHG-02|SERVICENOW|servicenow-itpp-chg-02,f35f822a-0f10-44f9-a946-1bc8c3ef5175,net-banking,ITPP-CHG-02,ITPP,SERVICENOW,servicenow-itpp-chg-02,net-banking_ITPP-CHG-02_CHANGE-TICKET_20260911_001,1,97889c6d042a0366f761473d37b4d1d22de44d0c7b638902e6be93bb6dc8df22,2026-09-11 11:30:39+00,2026-09-11 11:30:39.386054+00,2026-09-11 11:30:39.386054+00,DRAFT,,,,,
faf039a9-49e2-4e57-a109-5348504c51af,mobile-banking|PCI_DSS|PCI-DSS-12.10|SERVICENOW|servicenow-pci-dss-12.10,700fe2e0-76a2-4cbd-bc13-b784e4d130b0,mobile-banking,PCI-DSS-12.10,PCI_DSS,SERVICENOW,servicenow-pci-dss-12.10,mobile-banking_PCI-DSS-12.10_GENERAL_20260911_001,1,6894117c02588fba8ee7e4b87b197066242f1fdf5e125ba4f39319e8882d4d20,2026-09-11 11:30:38+00,2026-09-11 11:30:39.247211+00,2026-09-11 11:30:39.247211+00,DRAFT,,,,,
0cbba80a-7fb6-445e-b910-4c2f3cc82291,mobile-banking|ITPP|ITPP-INC-01|SERVICENOW|servicenow-itpp-inc-01,700fe2e0-76a2-4cbd-bc13-b784e4d130b0,mobile-banking,ITPP-INC-01,ITPP,SERVICENOW,servicenow-itpp-inc-01,mobile-banking_ITPP-INC-01_GENERAL_20260911_001,1,6fc7da62682a74ab990023c4a6f1b7b3245f975ef38a37d38dfabe8ab229dd4b,2026-09-11 11:30:38+00,2026-09-11 11:30:39.073371+00,2026-09-11 11:30:39.073371+00,DRAFT,,,,,
3a6f538f-dabf-44fa-9bdf-68b6d7ad1f51,mobile-banking|ITPP|ITPP-CHG-02|SERVICENOW|servicenow-itpp-chg-02,700fe2e0-76a2-4cbd-bc13-b784e4d130b0,mobile-banking,ITPP-CHG-02,ITPP,SERVICENOW,servicenow-itpp-chg-02,mobile-banking_ITPP-CHG-02_CHANGE-TICKET_20260911_001,1,d18ca51ebe99fbf3f190a9230b4202ac5a498cbbb8beef5fb6e5a693751acec2,2026-09-11 11:30:38+00,2026-09-11 11:30:38.754649+00,2026-09-11 11:30:38.754649+00,DRAFT,,,,,
3c427540-629c-4d58-b1ee-119170ad7937,payments|PCI_DSS|PCI-DSS-12.1|SHAREPOINT|sharepoint-pci-dss-12.1,c48fd0a0-a98a-4933-b118-d53c4863ce00,payments,PCI-DSS-12.1,PCI_DSS,SHAREPOINT,sharepoint-pci-dss-12.1,payments_PCI-DSS-12.1_GENERAL_20260911_001,1,9aaa9249efbb007015beb1fc80d8a8e1d020c2b6758a63a284a689581ed26e67,2026-09-11 11:30:38+00,2026-09-11 11:30:38.521124+00,2026-09-11 11:30:38.521124+00,DRAFT,,,,,
